About,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,seasonYear
Team,35,40.9,23.7,57.3,.414,15.9,34.2,.463,7.9,23.1,.342,9.9,14.3,.691,7.9,23.8,31.7,11.6,5.9,1.5,8.6,15.8,65.3,2023
Rank,,,308th,214th,322nd,333rd,253rd,332nd,118th,116th,176th,349th,347th,282nd,324th,263rd,322nd,303rd,236th,358th,362nd,273rd,331st,2023
Team,33,40.0,24.7,58.5,.422,18.2,37.4,.487,6.5,21.1,.306,14.1,19.0,.743,9.3,25.7,35.0,11.1,5.3,2.9,8.7,16.8,69.9,2022
Rank,,,248th,137th,279th,164th,143rd,247th,268th,220th,319th,80th,106th,89th,220th,139th,191st,314th,301st,206th,357th,173rd,208th,2022
Team,31,40.2,23.5,55.4,.425,14.9,30.8,.483,8.7,24.6,.352,11.4,14.9,.764,8.1,25.8,33.9,12.0,4.5,3.7,10.0,15.4,67.2,2020
Rank,,,297th,284th,244th,338th,335th,245th,47th,64th,77th,296th,326th,21st,299th,154th,258th,258th,349th,106th,349th,316th,286th,2020
Team,31,40.3,24.7,58.3,.425,16.1,34.5,.466,8.7,23.8,.364,11.7,15.3,.768,8.2,25.4,33.6,13.4,5.6,4.0,9.0,16.1,69.9,2021
Rank,,,226th,160th,254th,293rd,244th,298th,53rd,83rd,59th,252nd,300th,29th,277th,185th,257th,160th,256th,66th,347th,262nd,209th,2021
Team,37,40.1,26.8,59.0,.454,16.9,30.6,.552,9.9,28.4,.348,16.6,20.2,.826,9.4,27.1,36.5,14.5,5.1,2.4,9.6,16.5,80.1,2025
Rank,,,122nd,146th,142nd,280th,341st,49th,27th,26th,136th,26th,123rd,1st,273rd,33rd,114th,109th,339th,317th,347th,206th,36th,2025
Team,36,40.4,26.4,57.4,.461,19.3,37.0,.522,7.1,20.4,.349,14.7,19.4,.755,10.1,23.9,34.0,12.7,6.2,1.6,9.9,16.5,74.7,2024
Rank,,,150th,251st,87th,134th,163rd,118th,219th,244th,129th,122nd,166th,45th,195th,280th,261st,220th,210th,359th,327th,208th,147th,2024